accuracy,precision,recall,f1_score,dataset,execution_time,Tool
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:16,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:28,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:23,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:20,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:13,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:19,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:16,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:17,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:18,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:20,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:28,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:56,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:21,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:28,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:15,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:16,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:28,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:56,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:15,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:17,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:28,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:18,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:56,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:14,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:28,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:17,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:20,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:53,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:15,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:17,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:17,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:17,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:25,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:16,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:18,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:25,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:03,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:18,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:42,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:18,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:27,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:12,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:19,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:26,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:55,AutoGluon
0.9887538374788548,0.9647865378622624,0.926391382405745,0.9451992062280568,androcrawl_limpo.csv,00:01:04,AutoGluon
0.7111777111777112,0.7954230235783634,0.7633943427620632,0.7790796400067923,apcd_permissions_limpo.csv,00:00:14,AutoGluon
0.9866989117291416,0.9890990702148124,0.9897337183188964,0.9894162924951893,drebin215_limpo.csv,00:00:13,AutoGluon
0.9638358654720166,0.7797619047619048,0.5616291532690246,0.6529595015576324,motodroid_all.csv,00:04:18,AutoGluon
0.9624724061810156,0.7167277167277167,0.6291532690246516,0.6700913242009132,motodroid_api_calls.csv,00:02:29,AutoGluon
0.9411764705882352,0.536,0.2154340836012861,0.3073394495412844,motodroid_intents.csv,00:00:43,AutoGluon
0.9465653811193352,0.6627218934911243,0.240085744908896,0.3524783634933123,motodroid_permissions.csv,00:02:54,AutoGluon
